traditional,simplified
王因令章子將五都之兵，以因北地之衆以伐燕,王因令章子将五都之兵，以因北地之众以伐燕
,
逾東家牆而摟其處子，則得妻,逾东家墙而搂其处子，则得妻
九三，不恒其德，或承之羞,九三，不恒其德，或承之羞
,
,
邅吾道夫崑崙兮，路脩遠以周流,邅吾道夫昆仑兮，路修远以周流
齊王曰：子果無之魏而見寡人也，請封子,齐王曰：子果无之魏而见寡人也，请封子
夫秦下軹道則南陽動，劫韓包周則趙自銷鑠，據衞取淇則齊必入朝,夫秦下轵道则南阳动，劫韩包周则赵自销铄，据卫取淇则齐必入朝
,
信由己壹，而後功可念也,信由己壹，而后功可念也
何以無受也,何以无受也
,
秋七月,秋七月
諸侯遂亂，反陳、蔡，君子不恥不與焉,诸侯遂乱，反陈、蔡，君子不耻不与焉
,
適遇牧馬童子，問塗焉，曰：若知具茨之山乎,适遇牧马童子，问涂焉，曰：若知具茨之山乎
享先公、饗、射，則鷩冕,享先公、飨、射，则𫜁冕
鴻雁于飛，肅肅其羽,鸿雁于飞，肃肃其羽
此其可比於君子之德矣,此其可比于君子之德矣
形德仁義，神之末也，非至人孰能定之,形德仁义，神之末也，非至人孰能定之
簡子誡襄子曰：晉國有難，而無以尹鐸爲少，無以晉陽爲遠，必以爲歸,简子诫襄子曰：晋国有难，而无以尹铎为少，无以晋阳为远，必以为归
季孫氏劫公家，孔子欲諭術則見外，於是受養而便說,季孙氏劫公家，孔子欲谕术则见外，于是受养而便说
凡爾衆，其惟致告：自今至于後日，各恭爾事，齊乃位，度乃口,凡尔众，其惟致告：自今至于后日，各恭尔事，齐乃位，度乃口
聘而言盟者，尋舊盟也,聘而言盟者，寻旧盟也
齊悼公之來也，季康子以其妹妻之，即位而逆之,齐悼公之来也，季康子以其妹妻之，即位而逆之
神出於忠而應乎心，兩精相得，豈待言哉,神出于忠而应乎心，两精相得，岂待言哉
西方亦如之,西方亦如之
內於嘖室之議，有司執事者咸以厥事奉職，而不忘爲此嘖室之事也,内于啧室之议，有司执事者咸以厥事奉职，而不忘为此啧室之事也
,
仲尼聞之曰：遠哉禁偪，虛名不以借人，況實事乎,仲尼闻之曰：远哉禁偪，虚名不以借人，况实事乎
桀奔南巢，紂踣于京，厲流于彘，幽滅于戲，皆是術也,桀奔南巢，纣踣于京，厉流于彘，幽灭于戏，皆是术也
是以聖人終日行，不離輜重,是以圣人终日行，不离辎重
觀人之所肅，非行情也,观人之所肃，非行情也
冬，夫人姜氏會齊侯于穀,冬，夫人姜氏会齐侯于谷
緇衣之好兮，敝予又改造兮,缁衣之好兮，敝予又改造兮
魏強，其割趙必深矣,魏强，其割赵必深矣
使燕王內憎其民而外愛魯人，則燕不用而魯不附,使燕王内憎其民而外爱鲁人，则燕不用而鲁不附
自下訟上，患至掇也,自下讼上，患至掇也
上重義則義克利，上重利則利克義,上重义则义克利，上重利则利克义
明保予沖子,明保予冲子
晉人使爲邢大夫,晋人使为邢大夫
,
子言之：歸乎,子言之：归乎
越人以歸,越人以归
壬午，濟河,壬午，济河
旬有五日，百濮乃罷,旬有五日，百濮乃罢
孝弟原愨，軥錄疾力，以敦比其事業而不敢怠傲，是庶人之所以取煖衣飽食，長生久視，以免於刑戮也,孝弟原悫，軥录疾力，以敦比其事业而不敢怠傲，是庶人之所以取煖衣饱食，长生久视，以免于刑戮也
弒君者曷爲或稱名氏，或不稱名氏,弑君者曷为或称名氏，或不称名氏
,
不食雛鼈，狼去腸，狗去腎，狸去正脊，兔去尻，狐去首，豚去腦，魚去乙，鼈去醜,不食雏鳖，狼去肠，狗去肾，狸去正脊，兔去尻，狐去首，豚去脑，鱼去乙，鳖去丑
至於家，入門左，升自西階，殯東，西面坐，哭盡哀，括髮袒，降，堂東即位，西鄉哭，成踊，襲絰于序東，絞帶,至于家，入门左，升自西阶，殡东，西面坐，哭尽哀，括发袒，降，堂东即位，西乡哭，成踊，袭绖于序东，绞带
使其賢，不肖惡得不化,使其贤，不肖恶得不化
,
,
楚王大說，乃儆四境之內選師，言救韓，發信臣，多其車，重其幣,楚王大说，乃儆四境之内选师，言救韩，发信臣，多其车，重其币
,
側弁之俄，屢舞傞傞,侧弁之俄，屡舞傞傞
,
多士者，多長者也,多士者，多长者也
君殯用輴，欑至于上，畢塗屋,君殡用輴，𪴙至于上，毕涂屋
是爲成其親之名也已,是为成其亲之名也已
有截其所，湯孫之緒,有截其所，汤孙之绪
而先生獨以爲非聖人，如何哉,而先生独以为非圣人，如何哉
目徹爲明，耳徹爲聰，鼻徹爲顫，口徹爲甘，心徹爲知，知徹爲德,目彻为明，耳彻为聪，鼻彻为颤，口彻为甘，心彻为知，知彻为德
,
吾以一杯羊羹亡國，以一壺飡得士二人,吾以一杯羊羹亡国，以一壶飡得士二人
,
,
魯子曰：温近而踐土遠也,鲁子曰：温近而践土远也
士介死，爲之棺斂之，君不弔焉,士介死，为之棺敛之，君不吊焉
,
,
此其志，何也,此其志，何也
凡爲人子之禮，冬温而夏清，昏定而晨省,凡为人子之礼，冬温而夏清，昏定而晨省
公恐,公恐
三月，遂以夫人婦姜至自齊,三月，遂以夫人妇姜至自齐
夏，四月，癸酉，衛侯燬卒,夏，四月，癸酉，卫侯毁卒
,
此租稅所以九月而具也,此租税所以九月而具也
犯難爭權疑者死,犯难争权疑者死
祁盈之臣曰：鈞將皆死，憖使吾君聞勝與臧之死也以爲快,祁盈之臣曰：钧将皆死，慭使吾君闻胜与臧之死也以为快
囿者，山之燕者也,囿者，山之燕者也
一日克己復禮，天下歸仁焉,一日克己复礼，天下归仁焉
今民便其用而王變之，是損君而弱國也,今民便其用而王变之，是损君而弱国也
此有罪，何閔爾,此有罪，何闵尔
,
宜陽之役，楊達謂公孫顯曰：請爲公以五萬攻西周，得之，是以九鼎印甘茂也,宜阳之役，杨达谓公孙显曰：请为公以五万攻西周，得之，是以九鼎印甘茂也
遂起甲以往，陷西北隅以入之，三家爲一，郈昭伯不勝而死,遂起甲以往，陷西北隅以入之，三家为一，郈昭伯不胜而死
若飲食之，雖不耆，必嘗而待,若饮食之，虽不耆，必尝而待
公則曷爲不言公,公则曷为不言公
若來而無寵，速其怒也,若来而无宠，速其怒也
公固以爲不然，何不號於國中曰：无此道而爲此服者，其罪死,公固以为不然，何不号于国中曰：无此道而为此服者，其罪死
侯王若能守之，萬物將自賓,侯王若能守之，万物将自宾
,
會且歸矣，無庶予子憎,会且归矣，无庶予子憎
見杖，起之,见杖，起之
膳於君，有葷、桃、茢，於大夫去茢，於士去葷，皆造於膳宰,膳于君，有荤、桃、茢，于大夫去茢，于士去荤，皆造于膳宰
公曰：信，國之寶也，民之所庇也,公曰：信，国之宝也，民之所庇也
,
有慎之而反害之者，不達乎性命之情也,有慎之而反害之者，不达乎性命之情也
鳲鳩氏，司空也,鸤鸠氏，司空也
,
宰夫執薦以從，設于祭東,宰夫执荐以从，设于祭东
出之袖中，以示韓倉，狀如振㧢，纏之以布,出之袖中，以示韩仓，状如振㧢，缠之以布
操者何,操者何
湯將伐桀，因卞隨而謀,汤将伐桀，因卞随而谋
,
是謂君與臣同國,是谓君与臣同国
若大師，則掌其戒令，涖大卜，帥執事涖釁主及軍器,若大师，则掌其戒令，莅大卜，帅执事莅衅主及军器
《詩》曰：既明且哲，以保其身,《诗》曰：既明且哲，以保其身
萬乘之主，千乘之君，見夫子未嘗不分庭伉禮，夫子猶有倨敖之容,万乘之主，千乘之君，见夫子未尝不分庭伉礼，夫子犹有倨敖之容
君曰：何也,君曰：何也
,
曰：姑舍是,曰：姑舍是
,
掌國中失之事，以教國子弟，凡國之貴游子弟學焉,掌国中失之事，以教国子弟，凡国之贵游子弟学焉
,
《象》曰：乃亂乃萃，其志亂也,《象》曰：乃乱乃萃，其志乱也
長魚矯對曰：公不忍之，彼將忍公,长鱼矫对曰：公不忍之，彼将忍公
聘禮：上公七介，侯伯五介，子男三介，所以明貴賤也,聘礼：上公七介，侯伯五介，子男三介，所以明贵贱也
公父文伯之母如季氏，康子在其朝，與之言，弗應，從之及寑門，弗進而入,公父文伯之母如季氏，康子在其朝，与之言，弗应，从之及寝门，弗进而入
對曰：吾能老而已，何以語子,对曰：吾能老而已，何以语子
韓使人之楚，楚王因發車騎，陳之下路，謂韓使者曰：報韓君，言弊邑之兵今將入境矣,韩使人之楚，楚王因发车骑，陈之下路，谓韩使者曰：报韩君，言弊邑之兵今将入境矣
子曰：爲命，裨諶草創之，世叔討論之，行人子羽修飾之，東里子產潤色之,子曰：为命，裨谌草创之，世叔讨论之，行人子羽修饰之，东里子产润色之
吾豪士盡，大甲傷,吾豪士尽，大甲伤
垂緌五寸，惰游之士也,垂緌五寸，惰游之士也
古者什一而藉,古者什一而藉
,
墨子氾愛兼利而非鬭，其道不怒,墨子泛爱兼利而非鬭，其道不怒
夏，宋公、衛侯、許男、滕子伐鄭,夏，宋公、卫侯、许男、滕子伐郑
其法令逆而賞罰之所立者不當，則群臣立私而壅塞之，朋黨而劫殺之,其法令逆而赏罚之所立者不当，则群臣立私而壅塞之，朋党而劫杀之
閭有司觀出入者，以復于里尉,闾有司观出入者，以复于里尉
,
齊人取而殺之于夷，以其尸歸，僖公請而葬之,齐人取而杀之于夷，以其尸归，僖公请而葬之
教三行：一曰孝行，以親父母,教三行：一曰孝行，以亲父母
婦席、薦饌于房,妇席、荐馔于房
公輸般爲高雲梯，欲以攻宋,公输般为高云梯，欲以攻宋
七年夏，范文子卒,七年夏，范文子卒
以我齊明，與我犧羊，以社以方,以我齐明，与我牺羊，以社以方
是故夫禮必本於天，殽於地，列於鬼神,是故夫礼必本于天，殽于地，列于鬼神
,
决白馬之口，魏無濟陽,决白马之口，魏无济阳
辟之以號令，引之以徐疾，施乎其歸我若流水,辟之以号令，引之以徐疾，施乎其归我若流水
書先晉，晉有信也,书先晋，晋有信也
九五，休否，大人吉,九五，休否，大人吉
以天下之所順，攻親戚之所畔,以天下之所顺，攻亲戚之所畔
,
齊侯登巫山以望晉師,齐侯登巫山以望晋师
,
揚之水，不流束楚,扬之水，不流束楚
爾弗敬恤，爾執以屏助予一人，集天之顯，亦爾子孫其能常憂恤乃事,尔弗敬恤，尔执以屏助予一人，集天之显，亦尔子孙其能常忧恤乃事
牛又強與仲盟，不可,牛又强与仲盟，不可
人潔己以進，與其潔也，不保其往也,人洁己以进，与其洁也，不保其往也
遂怨郤至,遂怨郤至
,
湯禹嚴而求合兮，摯咎繇而能調,汤禹严而求合兮，挚咎繇而能调
今我即命于元龜，爾之許我，我其以璧與珪歸俟爾命,今我即命于元龟，尔之许我，我其以璧与珪归俟尔命
如可贖兮，人百其身,如可赎兮，人百其身
問：爲天下如何,问：为天下如何
懷王薨，太子辭於齊王而歸,怀王薨，太子辞于齐王而归
越已勝吳，又索卒於荆而攻晉,越已胜吴，又索卒于荆而攻晋
下則實其囷京，上以給上爲君，一舉而名實俱在也，民何爲也,下则实其囷京，上以给上为君，一举而名实俱在也，民何为也
,
,
誣能之人易知也,诬能之人易知也
不言戰，以鄭伯也,不言战，以郑伯也
,
,
公曰：吾未能知人，未能取人,公曰：吾未能知人，未能取人
踊無筭,踊无筭
夏，四月，叔孫豹會晉荀偃、齊人、宋人、衛北宫結、鄭公孫囆、曹人、莒人、邾婁人、滕人、薛人、杞人、小邾,夏，四月，叔孙豹会晋荀偃、齐人、宋人、卫北宫结、郑公孙囆、曹人、莒人、邾娄人、滕人、薛人、杞人、小邾
,
,
一宗人奉匜水，西面于盤東,一宗人奉匜水，西面于盘东
古先聖王之所以導其民者，先務於農,古先圣王之所以导其民者，先务于农
武子曰：何暮也,武子曰：何暮也
鄭伯討立君者，戊申，殺叔申、叔禽,郑伯讨立君者，戊申，杀叔申、叔禽
人臣皆宜其能，勝其官，輕其任，而莫懷餘力於心，莫負兼官之責於君,人臣皆宜其能，胜其官，轻其任，而莫怀余力于心，莫负兼官之责于君
定而履，言處其位，行其路，爲其事，則民守其職而不亂，故葆統而好終,定而履，言处其位，行其路，为其事，则民守其职而不乱，故葆统而好终
卵有毛，雞三足，郢有天下，犬可以爲羊，馬有卵，丁子有尾，火不熱，山出口，輪不蹍地，目不見，指不至，至,卵有毛，鸡三足，郢有天下，犬可以为羊，马有卵，丁子有尾，火不热，山出口，轮不蹍地，目不见，指不至，至
立煬宫，非禮也,立炀宫，非礼也
盡其所受乎天，而无見得，亦虛而已,尽其所受乎天，而无见得，亦虚而已
我出我車，于彼郊矣,我出我车，于彼郊矣
對曰：國有饑饉，卿出告糴，古之制也,对曰：国有饥馑，卿出告籴，古之制也
獨夫受洪惟作威，乃汝世讎,独夫受洪惟作威，乃汝世雠
奇則曰奇，鈞則曰左右鈞,奇则曰奇，钧则曰左右钧
今高杠柴池，東西南北不相睹，天酸然雨，十人之力不能上,今高杠柴池，东西南北不相睹，天酸然雨，十人之力不能上
成歡以太仁弱齊國，卜皮以慈惠亡魏王，管仲知之，故斷死人,成欢以太仁弱齐国，卜皮以慈惠亡魏王，管仲知之，故断死人
醴酒在室，醍酒在堂，澄酒在下，示民不淫也,醴酒在室，醍酒在堂，澄酒在下，示民不淫也
,
,
輸平猶墮成也,输平犹堕成也
,
,
今王以國讓子之，子之必不受也，則是王有讓子之之名而與堯同行也,今王以国让子之，子之必不受也，则是王有让子之之名而与尧同行也
,
韓陽役於三川而欲歸，足強爲之說韓王曰：三川服矣，王亦知之乎,韩阳役于三川而欲归，足强为之说韩王曰：三川服矣，王亦知之乎
魯陽文子辭惠王所與梁,鲁阳文子辞惠王所与梁
子我曰：何害,子我曰：何害
聞鼓聲，則速逆御僕與御庶子,闻鼓声，则速逆御仆与御庶子
夫曰：象吾故袴,夫曰：象吾故袴
老弱罷民，可以勝人之精士練材,老弱罢民，可以胜人之精士练材
司正降自西階，階前命弟子俟徹俎,司正降自西阶，阶前命弟子俟彻俎
尊不同也,尊不同也
列國之大夫，入天子之國曰某士，自稱曰陪臣某，於外曰子，於其國曰寡君之老，使者自稱曰某,列国之大夫，入天子之国曰某士，自称曰陪臣某，于外曰子，于其国曰寡君之老，使者自称曰某
載粻，有子曰：非禮也,载粻，有子曰：非礼也
,
子曰：年四十而見惡焉，其終也已,子曰：年四十而见恶焉，其终也已
牲用騂，尚赤也,牲用骍，尚赤也
,
此先王所以不用財賄，而廣施德於天下者也,此先王所以不用财贿，而广施德于天下者也
故義兵至，則鄰國之民歸之若流水，誅國之民望之若父母，行地滋遠，得民滋衆，兵不接刃而民服若化,故义兵至，则邻国之民归之若流水，诛国之民望之若父母，行地滋远，得民滋众，兵不接刃而民服若化
于社，禮也,于社，礼也
,
餼臧石牛，大史謝之，曰：以寡君之在行，牢禮不度，敢展謝之,饩臧石牛，大史谢之，曰：以寡君之在行，牢礼不度，敢展谢之
沽之哉,沽之哉
仲山甫出祖，四牡業業，征夫捷捷，每懷靡及,仲山甫出祖，四牡业业，征夫捷捷，每怀靡及
,
,
對曰：夫荆子熊嚴生子四人：伯霜、仲雪、叔熊、季紃,对曰：夫荆子熊严生子四人：伯霜、仲雪、叔熊、季𬘓
其卦曰：必三取君於周,其卦曰：必三取君于周
以其不可道之心，與不道人論道人，亂之本也,以其不可道之心，与不道人论道人，乱之本也
凡物開靜，形生理,凡物开静，形生理
將使後世之墨者，必自苦以腓无胈脛无毛相進而已矣,将使后世之墨者，必自苦以腓无胈胫无毛相进而已矣
,
,
於是荆軻遂就車而去，終已不顧,于是荆轲遂就车而去，终已不顾
召忽死之,召忽死之
洞洞乎其敬也，屬屬乎其忠也，勿勿乎其欲其饗之也,洞洞乎其敬也，属属乎其忠也，勿勿乎其欲其飨之也
以者何,以者何
故君子無悒悒於貧，無勿勿於賤，無憚憚於不聞，布衣不完，蔬食不飽，蓬户穴牖，日孜孜上仁,故君子无悒悒于贫，无勿勿于贱，无惮惮于不闻，布衣不完，蔬食不饱，蓬户穴牖，日孜孜上仁
齊人來歸鄆、讙、龜陰之田,齐人来归郓、讙、龟阴之田
農乃登麥，天子乃以彘嘗麥，先薦寢廟,农乃登麦，天子乃以彘尝麦，先荐寝庙
申無宇曰：不祥,申无宇曰：不祥
周旅酬六尸,周旅酬六尸
,
其他皆眡小君,其他皆视小君
宣王自迎靜郭君於郊，望之而泣,宣王自迎静郭君于郊，望之而泣
蛟何爲兮水裔,蛟何为兮水裔
王如弗敢及天基命定命，予乃胤保大相東土，其基作民明辟,王如弗敢及天基命定命，予乃胤保大相东土，其基作民明辟
秋，季武子如衛，報子叔之聘，且辭緩報，非貳也,秋，季武子如卫，报子叔之聘，且辞缓报，非贰也
豈弟君子，四方爲則,岂弟君子，四方为则
而身死國亡，則胡可以過,而身死国亡，则胡可以过
范蠡乃左提鼓，右援枹，以應使者，曰：昔者上天降禍於越，委制於吳，而吳不受,范蠡乃左提鼓，右援枹，以应使者，曰：昔者上天降祸于越，委制于吴，而吴不受
日事，遇晦曰晦,日事，遇晦曰晦
羸其瓶，是以凶也,羸其瓶，是以凶也
,
王人者何,王人者何
西門豹爲鄴令，而辭乎魏文侯,西门豹为邺令，而辞乎魏文侯
《象》曰：三年克之，憊也,《象》曰：三年克之，惫也
何以期也,何以期也
明明在下，赫赫在上,明明在下，赫赫在上
和以率貞，信也，故曰黃裳元吉,和以率贞，信也，故曰黄裳元吉
阽余身而危死兮，覽余初其猶未悔,阽余身而危死兮，览余初其犹未悔
,
諸伯之國，西階之西，東面北上,诸伯之国，西阶之西，东面北上
孔子曰：魚相造乎水，人相造乎道,孔子曰：鱼相造乎水，人相造乎道
得民必有道，萬乘之國，百户之邑，民無有不說,得民必有道，万乘之国，百户之邑，民无有不说
鼠思泣血，無言不疾,鼠思泣血，无言不疾
既能行之，貴其能讓也,既能行之，贵其能让也
,
魯人不與，爲是興師而伐魯，季子待之以偏戰,鲁人不与，为是兴师而伐鲁，季子待之以偏战
夏，公會晉侯、衛侯于瑣澤,夏，公会晋侯、卫侯于琐泽
體盡无窮，而遊无朕,体尽无穷，而游无朕
《象》曰：孚兌之吉，信志也,《象》曰：孚兑之吉，信志也
,
亂家子者，爲其亂人倫也,乱家子者，为其乱人伦也
,
明主者，人未之見而有親心焉者，有使民親之之道也，故其位安而民往之,明主者，人未之见而有亲心焉者，有使民亲之之道也，故其位安而民往之
麻者不紳,麻者不绅
功成事遂，百姓皆謂我自然,功成事遂，百姓皆谓我自然
豈不遽止,岂不遽止
微國也,微国也
故君子三揖而進，一辭而退，以遠亂也,故君子三揖而进，一辞而退，以远乱也
辟必明，卿必仁，正必知，右必和，伯必勤，卒必力,辟必明，卿必仁，正必知，右必和，伯必勤，卒必力
既受行，出，遂見宰，問幾月之資,既受行，出，遂见宰，问几月之资
公嗾夫獒焉，明搏而殺之,公嗾夫獒焉，明搏而杀之
,
命子曰：女以爲母,命子曰：女以为母
利居貞,利居贞
則莫我敢承,则莫我敢承
魯日以削，至於覲存，三十四世而亡,鲁日以削，至于觐存，三十四世而亡
乃命冢宰，農事備收，舉五種之要，藏帝籍之收於神倉，祗敬比飭,乃命冢宰，农事备收，举五种之要，藏帝籍之收于神仓，祗敬比饬
不知先生之洗我以善邪,不知先生之洗我以善邪
勇如害上，則不登于明堂,勇如害上，则不登于明堂
民不足，令乃辱,民不足，令乃辱
稱有何也,称有何也
是不然也,是不然也
人不足，則逆氣生,人不足，则逆气生
彼來請地而弗與，則移兵於韓必矣,彼来请地而弗与，则移兵于韩必矣
天子服黃而靜處，朝諸侯卿大夫列士，循於百姓，發號出令，曰：毋聚大衆，毋行大火，毋斷大木，誅大臣，毋斬,天子服黄而静处，朝诸侯卿大夫列士，循于百姓，发号出令，曰：毋聚大众，毋行大火，毋断大木，诛大臣，毋斩
,
今之弟子，病下人，不知事賢，恥不知而又不問，欲作則其知不足，是以惑闇，惑闇終其世而已矣，是謂窮民也,今之弟子，病下人，不知事贤，耻不知而又不问，欲作则其知不足，是以惑暗，惑暗终其世而已矣，是谓穷民也
今之世則不然：亂其教，繁其刑，其民迷惑而墮焉，則從而制之，是以刑彌繁而邪不勝,今之世则不然：乱其教，繁其刑，其民迷惑而堕焉，则从而制之，是以刑弥繁而邪不胜
西方者秋，秋之爲言愁也，愁之以時察，守義者也,西方者秋，秋之为言愁也，愁之以时察，守义者也
賢者之爲人臣也，其君不賢，則固可放與,贤者之为人臣也，其君不贤，则固可放与
秦王大恐，割地請講於魏,秦王大恐，割地请讲于魏
書曰鄭殺其大夫，專也,书曰郑杀其大夫，专也
不堪王命，乃禍亂也,不堪王命，乃祸乱也
其人曰：將焉用之,其人曰：将焉用之
不去，則甚害田者,不去，则甚害田者
初，共王無冢適，有寵子五人，無適立焉,初，共王无冢适，有宠子五人，无适立焉
,
,
趙穿追之不及,赵穿追之不及
乃復封陳,乃复封陈
齊女入魏而怨薛公，終以齊奉事王矣,齐女入魏而怨薛公，终以齐奉事王矣
曰：請損之，月攘一雞，以待來年，然後已,曰：请损之，月攘一鸡，以待来年，然后已
十二年春，楚子圍鄭，旬有七日,十二年春，楚子围郑，旬有七日
雖閉戶可也,虽闭户可也
爲諸侯之有疾病者，阼階之南，祝淮氏、榮氏次之，珪瓚次之，皆西面,为诸侯之有疾病者，阼阶之南，祝淮氏、荣氏次之，珪瓒次之，皆西面
,
,
故老聃則至公矣,故老聃则至公矣
,
,
天地並與,天地并与
齊將伐晉，不可以不懼,齐将伐晋，不可以不惧
子云：從命不忿，微諫不倦，勞而不怨，可謂孝矣,子云：从命不忿，微谏不倦，劳而不怨，可谓孝矣
范睢至秦，王庭迎，謂范睢曰：寡人宜以身受令久矣,范睢至秦，王庭迎，谓范睢曰：寡人宜以身受令久矣
天下之士也者，慮天下之長利，而固處之以身者也,天下之士也者，虑天下之长利，而固处之以身者也
,
左不攻于左，汝不恭命,左不攻于左，汝不恭命
以，重辭也,以，重辞也
閔王曰：此寡人之過也，子無以爲罪,闵王曰：此寡人之过也，子无以为罪
衣食足，則知榮辱,衣食足，则知荣辱
,
宋華元克合晉、楚之成，夏五月，晉士燮會楚公子罷、許偃,宋华元克合晋、楚之成，夏五月，晋士燮会楚公子罢、许偃
後事小，則以先事致,后事小，则以先事致
,
舉天下而圖之，莫徑於結趙矣,举天下而图之，莫径于结赵矣
,
南辟之民曰蠻，信以朴，至于大遠，有不火食者矣,南辟之民曰蛮，信以朴，至于大远，有不火食者矣
宋高哀爲蕭封人，以爲卿，不義宋公而出，遂來奔,宋高哀为萧封人，以为卿，不义宋公而出，遂来奔
,
已,已
閏月戊寅，濟于陰阪，侵鄭,闰月戊寅，济于阴阪，侵郑
,
老婦、士夫，亦可醜也,老妇、士夫，亦可丑也
曾子曰：於西方，斂斯席矣,曾子曰：于西方，敛斯席矣
令五帝以㭊中兮，戒六神與嚮服,令五帝以㭊中兮，戒六神与向服
韓恐，使陽城君入謝於秦，請效上黨之地以爲和,韩恐，使阳城君入谢于秦，请效上党之地以为和
夫民必得其所欲，然後聽上,夫民必得其所欲，然后听上
出入無疾，朋來無咎,出入无疾，朋来无咎
親者在室,亲者在室
,
高齮以錦示子猶，子猶欲之,高𬺈以锦示子犹，子犹欲之
人之生，動之死地亦十有三,人之生，动之死地亦十有三
,
,
高山仰止，景行行止,高山仰止，景行行止
故剛平之殘也，中牟之墮也，黃城之墜也，棘溝之燒也，此皆非趙、魏之欲也,故刚平之残也，中牟之堕也，黄城之坠也，棘沟之烧也，此皆非赵、魏之欲也
率乃祖文王之彝訓，無若爾考之違王命,率乃祖文王之彝训，无若尔考之违王命
夫絳之富商，韋藩木楗以過於朝，唯其功庸少也，而能金玉其車，文錯其服，能行諸侯之賄，而無尋尺之祿，無大,夫绛之富商，韦藩木楗以过于朝，唯其功庸少也，而能金玉其车，文错其服，能行诸侯之贿，而无寻尺之禄，无大
,
,
易者，所以守凶吉成敗也,易者，所以守凶吉成败也
四察：一、目察維極，二、耳察維聲，三、口察維言，四、心察維念,四察：一、目察维极，二、耳察维声，三、口察维言，四、心察维念
韠長三尺，下廣二尺，上廣一尺，會去上五寸,𫖒长三尺，下广二尺，上广一尺，会去上五寸
農及雪澤,农及雪泽
,
戌曰：吾聞撫民者，節用於內，而樹德於外，民樂其性，而無寇讎,戌曰：吾闻抚民者，节用于内，而树德于外，民乐其性，而无寇雠
中澤中藪如中川之衡,中泽中薮如中川之衡
原壤夷俟,原壤夷俟
《詩》云：淑人君子，其儀不忒,《诗》云：淑人君子，其仪不忒
石不相離者，固乎然其無已,石不相离者，固乎然其无已
,
,
庶子官職諸侯、卿、大夫、士之庶子之卒，掌其戒令，與其教治，別其等，正其位,庶子官职诸侯、卿、大夫、士之庶子之卒，掌其戒令，与其教治，别其等，正其位
,
星言夙駕，說于桑田,星言夙驾，说于桑田
是故君子將說富貴，必勉於仁也,是故君子将说富贵，必勉于仁也
何以不杖也,何以不杖也
鴻雁于飛，集于中澤,鸿雁于飞，集于中泽
,
《紀年》曰：不降即位，六年，伐九苑．立十九年．其弟立，是爲帝扃．,《纪年》曰：不降即位，六年，伐九苑．立十九年．其弟立，是为帝扃．
及其死也，升屋而號，告曰：皋某復,及其死也，升屋而号，告曰：皋某复
淮夷來同，莫不率從，魯侯之功,淮夷来同，莫不率从，鲁侯之功
剛遇中正，天下大行也,刚遇中正，天下大行也
鄅夫人，宋向戌之女也，故向寧請師,鄅夫人，宋向戌之女也，故向宁请师
今周見殷之亂而遽爲政，上謀而下行貨，阻兵而保威，割牲而盟以爲信，揚行以悅衆，殺伐以要利，是推亂以易暴,今周见殷之乱而遽为政，上谋而下行货，阻兵而保威，割牲而盟以为信，扬行以悦众，杀伐以要利，是推乱以易暴
,
,
吾何求哉,吾何求哉
禹敷土，隨山刊木，奠高山大川,禹敷土，随山刊木，奠高山大川
且重、黎之後也，夫黎爲高辛氏火正，以淳燿敦大，天明地德，光照四海，故命之曰祝融，其功大矣,且重、黎之后也，夫黎为高辛氏火正，以淳燿敦大，天明地德，光照四海，故命之曰祝融，其功大矣
莊王曰：不穀謀事而當，群臣莫能逮，是以憂也,庄王曰：不穀谋事而当，群臣莫能逮，是以忧也
是不待教而誅者也,是不待教而诛者也
行刑，重其輕者，輕者不至，重者不來，此謂以刑去刑,行刑，重其轻者，轻者不至，重者不来，此谓以刑去刑
凡祭祀，共簠簋，實之，陳之,凡祭祀，共簠簋，实之，陈之
行法至堅，好修正其所聞以橋飾其情性，其言多當矣而未諭也，其行多當矣而未安也，其知慮多當矣而未周密也，,行法至坚，好修正其所闻以桥饰其情性，其言多当矣而未谕也，其行多当矣而未安也，其知虑多当矣而未周密也，
其愛之也，桓、莊之族何罪,其爱之也，桓、庄之族何罪
發如用之，可以知古，可以察今，可以事親，可以事君，可用於生，又用之死，吉凶並興，禍福相生，卒反生福，,发如用之，可以知古，可以察今，可以事亲，可以事君，可用于生，又用之死，吉凶并兴，祸福相生，卒反生福，
於是使人謝孫子,于是使人谢孙子
左揕桓公，右自承，曰：均之死也，戮死於君前,左揕桓公，右自承，曰：均之死也，戮死于君前
若君之惠而免之，以賜君之外臣首,若君之惠而免之，以赐君之外臣首
子玉曰：然則請止狐偃,子玉曰：然则请止狐偃
既食，孔伯姬杖戈而先，太子與五人介，輿豭從之,既食，孔伯姬杖戈而先，太子与五人介，舆豭从之
,
紇又不能,纥又不能
冬，晉悼公卒，遂不克會,冬，晋悼公卒，遂不克会
常以朔日始出具閱之，取完堅，補弊久，去苦惡,常以朔日始出具阅之，取完坚，补弊久，去苦恶
有若曰：晏子一狐裘三十年，遣車一乘，及墓而反,有若曰：晏子一狐裘三十年，遣车一乘，及墓而反
聽群衆人議以治國，國危無日矣,听群众人议以治国，国危无日矣
是故聖人南面而立，而天下大治,是故圣人南面而立，而天下大治
無成與虧，故昭氏之不鼓琴也,无成与亏，故昭氏之不鼓琴也
故《周書》曰：皇天無親，惟德是輔,故《周书》曰：皇天无亲，惟德是辅
