段落,小句,内容
11.9,6,且財者君之所輕，死者士之所重，君不肯以所輕與士，而責士以所重事君，非士易得而難用也
11.10,0,蘇秦自燕之齊，見於華章南門
11.10,1,齊王曰：嘻
11.10,2,子之來也
11.10,3,秦使魏冉致帝，子以爲何如
11.10,4,對曰：王之問臣也卒，而患之所從生者微
11.10,5,今不聽，是恨秦也
11.10,6,聽之，是恨天下也
11.10,7,不如聽之以卒秦，勿庸稱也以爲天下
11.10,8,秦稱之，天下聽之，王亦稱之，先後之事，帝名爲無傷也
11.10,9,秦稱之，而天下不聽，王因勿稱，其於以收天下，此大資也
11.11,0,蘇秦謂齊王曰：齊秦立爲兩帝，王以天下爲尊秦乎
11.11,1,且尊齊乎
11.11,2,王曰：尊秦
11.11,3,釋帝則天下愛齊乎
11.11,4,且愛秦乎
11.11,5,王曰：愛齊而憎秦
11.11,6,兩帝立，約伐趙，孰與伐宋之利也
11.11,7,對曰：夫約然與秦爲帝，而天下獨尊秦而輕齊
11.11,8,齊釋帝，則天下愛齊而憎秦
11.11,9,伐趙不如伐宋之利
11.11,10,故臣願王明釋帝，以就天下
11.11,11,倍約儐秦，勿使爭重
11.11,12,而王以其間舉宋
11.11,13,夫有宋則衞之陽城危
11.11,14,有淮北則楚之東國危
11.11,15,有濟西則趙之河東危
11.11,16,有陰平陸則梁門不啟
11.11,17,故釋帝而貳之以伐宋之事，則國重而名尊，燕楚以形服，天下不敢不聽，此湯武之舉也
11.11,18,敬秦以爲名，而後使天下憎之，此所謂以卑易尊者也
11.11,19,願王之熟慮之也
12.1,0,蘇秦說齊閔王曰：臣聞用兵而喜先天下者憂，約結而喜主怨者孤
12.1,1,夫後起者藉也，而遠怨者時也
12.1,2,是以聖人從事，必藉於權而務興於時
12.1,3,夫權藉者，萬物之率也
12.1,4,而時勢者，百事之長也
12.1,5,故無權籍，倍時勢，而能事成者寡矣
12.1,6,今雖干將莫邪，非得人力，則不能割劌矣
12.1,7,堅箭利金，不得弦機之利，則不能遠殺矣
12.1,8,矢非不銛，而劍非不利也，何則
12.1,9,權藉不在焉
12.1,10,何以知其然也
12.1,11,昔者趙氏襲衞，車舍人不休傅，衞國城割平，衞八門土而二門墮矣，此亡國之形也
12.1,12,衞君跣行，告遡於魏
12.1,13,魏王身被甲底劍，挑趙索戰
12.1,14,邯鄲之中騖，河山之間亂
12.1,15,衞得是藉也，亦收餘甲而北面，殘剛平，墮中牟之郭
12.1,16,衞非強於趙也，譬之衞矢而魏弦機也，藉力魏而有河東之地
12.1,17,趙氏懼，楚人救趙而伐魏，戰於州西，出梁門，軍舍林中，馬飲於大河
12.1,18,趙得是藉也，亦襲魏之河北燒棘溝，墜黃城
12.1,19,故剛平之殘也，中牟之墮也，黃城之墜也，棘溝之燒也，此皆非趙魏之欲也
12.1,20,然二國勸行之者，何也
12.1,21,衞明於時權之藉也
12.1,22,今世之爲國者不然矣
12.1,23,兵弱而好敵強，國罷而好衆怨，事敗而好鞠之，兵弱而憎下人也，地狹而好敵大，事敗而好長詐
12.1,24,行此六者而求伯，則遠矣
12.1,25,臣聞善爲國者，順民之意，而料兵之能，然後從於天下
12.1,26,故約不爲人主怨，伐不爲人挫強
12.1,27,如此，則兵不費，權不輕，地可廣，欲可成也
12.1,28,昔者，齊之與韓魏伐秦楚也，戰非甚疾也，分地又非多韓魏也，然而天下獨歸咎於齊者，何也
12.1,29,以其爲韓魏主怨也
12.1,30,且天下徧用兵矣，齊燕戰，而趙氏兼中山，秦楚戰韓魏不休，而宋越專用其兵
12.1,31,此十國者，皆以相敵爲意，而獨舉心於齊者，何也
12.1,32,約而好主怨，伐而好挫強也
12.1,33,且夫強大之禍，常以王人爲意也
12.1,34,夫弱小之殃，常以謀人爲利也
12.1,35,是以大國危，小國滅也
12.1,36,大國之計，莫若後起而重伐不義
12.1,37,夫後起之籍與多而兵勁，則事以衆強適罷寡也，兵必立也
12.1,38,事不塞天下之心，則利必附矣
12.1,39,大國行此，則名號不攘而至，伯王不爲而立矣
12.1,40,小國之情，莫如僅靜而寡信諸侯
12.1,41,僅靜，則四鄰不反
12.1,42,寡信諸侯，則天下不賣
12.1,43,外不賣，內不反，則檳禍朽腐而不用，幣帛矯蠹而不服矣
12.1,44,小國道此，則不祠而福矣，不貸而見足矣
12.1,45,故曰：祖仁者王，立義者伯，用兵窮者亡
12.1,46,何以知其然也
12.1,47,昔吳王夫差以強大爲天下先，強襲郢而棲越，身從諸侯之君，而卒身死國亡，爲天下戮者，何也
12.1,48,此夫差平居而謀王，強大而喜先天下之禍也
12.1,49,昔者萊莒好謀，陳蔡好詐，莒恃越而滅，蔡恃晉而亡，此皆內長詐，外信諸侯之殃也
12.1,50,由此觀之，則強弱大小之禍，可見於前事矣
12.1,51,語曰：麒驥之衰也，駑馬先之
12.1,52,孟賁之倦也，女子勝之
12.1,53,夫駑馬女子，筋骨力勁，非賢於騏驥孟賁也
12.1,54,何則
12.1,55,後起之藉也
12.1,56,今天下之相與也不並滅，有而案兵而後起，寄怨而誅不直，微用兵而寄於義，則亡天下可跼足而須也
12.1,57,明於諸侯之故，察於地形之理者，不約親，不相質而固，不趨而疾，衆事而不反，交割而不相憎，俱彊而加以親
12.1,58,何則
12.1,59,形同憂而兵趨利也
12.1,60,何以知其然也
12.1,61,昔者齊燕戰於桓之曲，燕不勝，十萬之衆盡
12.1,62,胡人襲燕樓煩數縣，取其牛馬
12.1,63,夫胡之與齊非素親也，而用兵又非約質而謀燕也，然而甚於相趨者，何也
12.1,64,何則形同憂而兵趨利也
12.1,65,由此觀之，約於同形則利長，後起則諸侯可趨役也
12.1,66,故明主察相，誠欲以伯王也爲志，則戰攻非所先
12.1,67,戰者，國之殘也，而都縣之費也
12.1,68,殘費已先，而能從諸侯者寡矣
12.1,69,彼戰者之爲殘也，士聞戰則輸私財而富軍巿，輸飲食而待死士，令折轅而炊之，殺牛而觴士，則是路君之道也
12.1,70,中人禱祝，君翳釀，通都小縣置社，有巿之邑莫不止事而奉王，則此虛中之計也
12.1,71,夫戰之明日，尸死扶傷，雖若有功也，軍出費，中哭泣，則傷主心矣
12.1,72,死者破家而葬，夷傷者空財而共藥，完者內酺而華樂，故其費與死傷者鈞
12.1,73,故民之所費也，十年之田而不償也
12.1,74,軍之所出，矛戟折，鐶弦絕，傷弩，破車，罷馬，亡矢之大半
12.1,75,甲兵之具，官之所私出也，士大夫之所匿，廝養士之所竊，十年之田而不償也
12.1,76,天下有此再費者，而能從諸侯寡矣
12.1,77,攻城之費，百姓理襜蔽，舉衝櫓，家雜總，身窟穴，中罷於刀金
12.1,78,而士困於土功，將不釋甲，期數而能拔城者爲亟耳
12.1,79,上倦於教，士斷於兵，故三下城而能勝敵者寡矣
12.1,80,故曰：彼戰攻者，非所先也
12.1,81,何以知其然也
12.1,82,昔智伯瑤攻范中行氏，殺其君，滅其國，又西圍晉陽，吞兼二國，而憂一主，此用兵之盛也
12.1,83,然而智伯卒身死國亡，爲天下笑者，何謂也
12.1,84,兵先戰攻，而滅二子患也
12.1,85,日者，中山悉起而迎燕趙，南戰於長子，敗趙氏
12.1,86,北戰於中山，克燕軍，殺其將
12.1,87,夫中山千乘之國也，而敵萬乘之國二，再戰北勝，此用兵之上節也
12.1,88,然而國遂亡，君臣於齊者，何也
12.1,89,不嗇於戰攻之患也
12.1,90,由此觀之，則戰攻之敗，可見於前事
12.1,91,今世之所謂善用兵者，終戰比勝，而守不可拔，天下稱爲善，一國得而保之，則非國之利也
12.1,92,臣聞戰大勝者，其士多死而兵益弱
12.1,93,守而不可拔者，其百姓罷而城郭露
12.1,94,夫士死於外，民殘於內，而城郭露於境，則非王之樂也
12.1,95,今夫鵠的非咎罪於人也，便弓引弩而射之，中者則善，不中則愧，少長貴賤，則同心於貫之者，何也
12.1,96,惡其示人以難也
12.1,97,今窮戰比勝，而守必不拔，則是非徒示人以難也，又且害人者也，然則天下仇之必矣
12.1,98,夫罷士露國，而多與天下爲仇，則明君不居也
12.1,99,素用強兵而弱之，則察相不事
12.1,100,彼明君察相者，則五兵不動而諸侯從，辭讓而重賂至矣
12.1,101,故明君之攻戰也，甲兵不出於軍而敵國勝，衝櫓不施而邊城降，士民不知而王業至矣
12.1,102,彼明君之從事也，用財少，曠日遠而爲利長者
12.1,103,故曰：兵後起則諸侯可趨役也
12.1,104,臣之所聞，攻戰之道非師者，雖有百萬之軍，比之堂上
12.1,105,雖有闔閭吳起之將，禽之戶內
12.1,106,千丈之城，拔之尊俎之間
12.1,107,百尺之衝，折之衽席之上
12.1,108,故鍾皷竽瑟之音不絕，地可廣而欲可成
12.1,109,和樂倡優侏儒之笑不之，諸侯可同日而致也
12.1,110,故名配天地不爲尊，利制海內不爲厚
12.1,111,故夫善爲王業者，在勞天下而自佚，亂天下而自安，諸侯無成謀，則其國無宿憂也
12.1,112,何以知其然
12.1,113,佚治在我，勞亂在天下，則王之道也
12.1,114,銳兵來則拒之，患至則趨之，使諸侯無成謀，則其國無宿憂矣
12.1,115,何以知其然矣
12.1,116,昔者魏王擁土千里，帶甲三十六萬，其強而拔邯鄲，西圍定陽，又從十二諸侯朝天子，以西謀秦
12.1,117,秦王恐之，寢不安席，食不甘味，令於境內，盡堞中爲戰具，竟爲守備，爲死士置將，以待魏氏
12.1,118,衞鞅謀於秦王曰：夫魏氏其功大，而令行於天下，有十二諸侯而朝天子，其與必衆
12.1,119,故以一秦而敵大魏，恐不如
12.1,120,王何不使臣見魏王，則臣請必北魏矣
12.1,121,秦王許諾
12.1,122,衞鞅見魏王曰：大王之功大矣，令行於天下矣
12.1,123,今大王之所從十二諸侯，非宋衞也，則鄒魯陳蔡，此固大王之所以鞭箠使也，不足以王天下
12.1,124,大王不若北取燕，東伐齊，則趙必從矣
12.1,125,西取秦，南伐楚，則韓必從矣
12.1,126,大王有伐齊楚心，而從天下之志，則王業見矣
12.1,127,大王不如先行王服，然後圖齊楚
12.1,128,魏王說於衞鞅之言也，故身廣公宮，制丹衣柱，建九斿，從七星之旟
12.1,129,此天子之位也，而魏王處之
12.1,130,於是齊楚怒，諸侯奔齊，齊人伐魏，殺其太子，覆其十萬之軍
12.1,131,魏王大恐，跣行按兵於國，而東次於齊，然後天下乃舍之
12.1,132,當是時，秦王垂拱受西河之外，而不以德魏王
12.1,133,故曰衞鞅之始與秦王計也，謀約不下席，言於尊俎之間，謀成於堂上，而魏將以禽於齊矣
12.1,134,衝櫓未施，而西河之外入於秦矣
12.1,135,此臣之所謂比之堂上，禽將戶內，拔城於尊俎之間，折衝席上者也
13.1,0,齊負郭之民有孤狐咺者，正議閔王，斮之檀衢，百姓不附
13.1,1,齊孫室子陳舉直言，殺之東閭，宗族離心
13.1,2,司馬穰苴爲政者也，殺之，大臣不親
13.1,3,以故燕舉兵，使昌國君將而擊之
13.1,4,齊使向子將而應之
13.1,5,齊軍破，向子以輿一乘亡
13.1,6,達子收餘卒，復振，與燕戰，求所以償者，閔王不肯與，軍破走
13.1,7,王奔莒，淖齒數之曰：夫千乘博昌之間，方數百里，雨血沾衣，王知之乎
13.1,8,王曰：不知
13.1,9,嬴博之間，地坼至泉，王知之乎
13.1,10,王曰：不知
13.1,11,人有當闕而哭者，求之則不得，去之則聞其聲，王知之乎
13.1,12,王曰：不知
13.1,13,淖齒曰：天雨血沾衣者，天以告也
13.1,14,地坼至泉者，地以告也
13.1,15,人有當闕而哭者，人以告也
13.1,16,天地人皆以告矣，而王不知戒焉，何得無誅乎
13.1,17,於是殺閔王於皷里
13.1,18,太子乃解衣免服，逃太史之家爲溉園
13.1,19,君王后，太史氏女，知其貴人，善事之
13.1,20,田單以即墨之城，破亡餘卒，破燕兵，紿騎劫，遂以復齊，遽迎太子於莒，立之以爲王
13.1,21,襄王即位，君王后以爲后，生齊王建
13.2,0,王孫賈年十五，事閔王
13.2,1,王出走，失王之處
13.2,2,其母曰：女朝出而晚來，則吾倚門而望
13.2,3,女暮出而不還，則吾倚閭而望
13.2,4,女今事王，王出走，女不知其處，女尚何歸
13.2,5,王孫賈乃入市中，曰：淖齒亂齊國，殺閔王，欲與我誅者，袒右
13.2,6,市人從者四百人，與之誅淖齒，刺而殺之
13.3,0,燕攻齊，取七十餘城，唯莒即墨不下
13.3,1,齊田單以即墨破燕，殺騎劫
13.3,2,初，燕將攻下聊城，人或讒之
13.3,3,燕將懼誅，遂保守聊城，不敢歸
13.3,4,田單攻之歲餘，士卒多死，而聊城不下
13.3,5,魯連乃書，約之矢以射城中，遺燕將曰：吾聞之，智者不倍時而棄利，勇士不怯死而滅名，忠臣不先身而後君
13.3,6,今公行一朝之忿，不顧燕王之無臣，非忠也
13.3,7,殺身亡聊城，而威不信於齊，非勇也
13.3,8,功廢名滅，後世無稱，非知也
13.3,9,故知者不再計，勇士不怯死
13.3,10,今死生榮辱，尊卑貴賤，此其一時也
13.3,11,願公之詳計而無與俗同也
13.3,12,且楚攻南陽，魏攻平陸，齊無南面之心，以爲亡南陽之害，不若得濟北之利，故定計而堅守之
13.3,13,今秦人下兵，魏不敢東面，橫秦之勢合，則楚國之形危
13.3,14,且棄南陽，斷右壤，存濟北，計必爲之
13.3,15,今楚魏交退，燕救不至，齊無天下之規，與聊城共據朞年之弊，即臣見公之不能得也
13.3,16,齊必决之於聊城，公無再計
13.3,17,彼燕國大亂，君臣過計，上下迷惑，栗腹以百萬之衆，五折於外，萬乘之國，被圍於趙，壤削主困，爲天下戮，公聞之乎
13.3,18,今燕王方寒心獨立，大臣不足恃，國弊旤多，民心無所歸
13.3,19,今公又以弊聊之民，距全齊之兵，朞年不解，是墨翟之守也
13.3,20,食人炊骨，士無反北之心，是孫臏吳起之兵也
13.3,21,能以見於天下矣
13.3,22,故爲公計者，不如罷兵休士，全車甲，歸報燕王，燕王必喜
13.3,23,士民見公，如見父母，交游攘臂而議於世，功業可明矣
13.3,24,上輔孤主，以制羣臣
13.3,25,下養百姓，以資說士
13.3,26,矯國革俗於天下，功名可立也
13.3,27,意者，亦捐燕棄世，東游於齊乎
13.3,28,請裂地定封，富比陶衞，世世稱孤寡，與齊久存，此亦一計也
13.3,29,二者顯名厚實也，願公熟計而審處一也
13.3,30,且吾聞，傚小節者不能行大威，惡小恥者不能立榮名
13.3,31,昔管仲射桓公中鉤，篡也
13.3,32,遺公子糾而不能死，怯也
13.3,33,束縛桎桔，辱身也
13.3,34,此三行者，鄉里不通也，世主不臣也
13.3,35,使管仲終窮抑，幽囚而不出，慚恥而不見，窮年沒壽，不免爲辱人賤行矣
13.3,36,然而管子并三行之過，據齊國之政，一匡天下，九合諸侯，爲五伯首，名高天下，光照鄰國
13.3,37,曹沫爲魯君將，三戰三北，而喪地千里
13.3,38,使曹子之足不離陳，計不顧後，出必死而不生，則不免爲敗軍禽將
13.3,39,曹子以敗軍禽將，非勇也
13.3,40,功廢名滅，後世無稱，非知也
13.3,41,故去三北之恥，退而與魯君計也，曹子以爲遭
13.3,42,齊桓公有天下，朝諸侯
13.3,43,曹子以一劍之任，劫桓公於壇位之上，顏色不變，而辭氣不悖
13.3,44,三戰之所喪，一朝而反之，天下震動驚駭，威信吳楚，傳名後世
13.3,45,若此二公者，非不能行小節，死小恥也，以爲殺身絕世，功名不立，非知也
13.3,46,故去忿恚之心，而成終身之名
13.3,47,除感忿之恥，而立累世之功
13.3,48,故業與三王爭流，名與天壤相敝也
13.3,49,公其圖之
13.3,50,燕將曰：敬聞命矣
13.3,51,因罷兵到讀而去
13.3,52,故解齊國之圍，救百姓之死，仲連之說也
13.4,0,燕攻齊，齊破
13.4,1,閔王奔莒，淖齒殺閔王
13.4,2,田單守即墨之城，破燕兵，復齊墟
13.4,3,襄王爲太子徵
13.4,4,齊以破燕，田單之立疑，齊國之衆，皆以田單爲自立也
13.4,5,襄王立，田單相之
13.4,6,過菑水，有老人涉菑而寒，出不能行，坐於沙中
13.4,7,田單見其寒，欲使後車分衣，無可以分者，單解裘而衣之
13.4,8,襄王惡之，曰：田單之施，將欲以取我國乎
13.4,9,不早圖，恐後之
13.4,10,左右顧無人，巖下有貫珠者，襄王呼而問之曰：女聞吾言乎
13.4,11,對曰：聞之
13.4,12,王曰：女以爲何若
13.4,13,對曰：王不如因以爲己善
13.4,14,王嘉單之善，下令曰：寡人憂民之饑也，單收而食之
13.4,15,寡人憂民之寒也，單解裘而衣之
13.4,16,寡人憂勞百姓，而單亦憂之，稱寡人之意
13.4,17,單有是善而王嘉之，善單之善，亦王之善已
13.4,18,王曰：善
13.4,19,乃賜單牛酒，嘉其行
13.4,20,後數日，貫珠者復見王曰：王至朝日，宜召田單而揖之於庭，口勞之
13.4,21,乃布令求百姓之饑寒者，收穀之
13.4,22,乃使人聽於閭里，聞丈夫之相□與語，舉□□□□曰：田單之愛人
13.4,23,嗟，乃王之教澤也
13.5,0,貂勃常惡田單，曰：安平君，小人也
13.5,1,安平君聞之，故爲酒而召貂勃，曰：單何以得罪於先生，故常見譽於朝
13.5,2,貂勃曰：跖之狗吠堯，非貴跖而賤堯也，狗固吠非其主也
13.5,3,且今使公孫子賢，而徐子不肖
13.5,4,然而使公孫子與徐子鬭，徐子之狗，猶時攫公孫子之腓而噬之也
13.5,5,若乃得去不肖者，而爲賢者狗，豈特攫其腓而噬之耳哉
13.5,6,安平君曰：敬聞命
13.5,7,明日，任之於王
13.5,8,王有所幸臣九人之屬，欲傷安平君，相與語於王曰：燕之伐齊之時，楚王使將軍將萬人而佐齊
13.5,9,今國已定，而社稷已安矣，何不使使者謝於楚王
13.5,10,王曰：左右孰可
13.5,11,九人之屬曰：貂勃可
13.5,12,貂勃使楚
13.5,13,楚王受而觴之，數日不反
13.5,14,九人之屬相與語於王曰：夫一人身，而牽留萬乘者，豈不以據勢也哉
13.5,15,且安平君之與王也，君臣無禮，而上下無別
13.5,16,且其志欲爲不善
13.5,17,內牧百姓，循撫其心，振窮補不足，布德於民
13.5,18,外懷戎翟天下之賢士，陰結諸侯之雄俊豪英
13.5,19,其志欲有爲也
13.5,20,願王之察之
13.5,21,異日，而王曰：召相單來
13.5,22,田單免冠徒跣肉袒而進，退而請死罪
13.5,23,五日，而王曰：子無罪於寡人，子爲子之臣禮，吾爲吾之王禮而已矣
13.5,24,貂勃從楚來，王賜諸前，酒酣，王曰：召相田單而來
13.5,25,貂勃避席稽首曰：王惡得此亡國之言乎
13.5,26,王上者孰與周文王
13.5,27,王曰：吾不若也
13.5,28,貂勃曰
13.5,29,然，臣固知王不若也
13.5,30,下者孰與齊桓公
13.5,31,王曰：吾不若也
13.5,32,貂勃曰：然，臣固知王不若也
13.5,33,然則周文王得呂尚以爲太公，齊桓公得管夷吾以爲仲父，今王得安平君而獨曰單
13.5,34,且自天地之闢，民人之治，爲人臣之功者，誰有厚於安平君者哉
13.5,35,而王曰單，單
13.5,36,惡得此亡國之言乎
13.5,37,且王不能守先王之社稷，燕人興師而襲齊墟，王走而之城陽之山中
13.5,38,安平君以惴惴之即墨，三里之城，五里之郭，敝卒七千，禽其司馬，而反千里之齊，安平君之功也
13.5,39,當是時也，闔城陽而王，城陽天下莫之能止
13.5,40,然而計之於道，歸之於義，以爲不可，故爲棧道木閣，而迎王與后於城陽山中，王乃得反，子臨百姓
13.5,41,今國已定，民已安矣，王乃曰單
13.5,42,且嬰兒之計不爲此
13.5,43,王不亟殺此九子者以謝安平君，不然，國危矣
13.5,44,王乃殺九子而逐其家，益封安平君以夜邑萬戶
13.6,0,田單將攻狄，往見魯仲子
13.6,1,仲子曰
13.6,2,將軍攻狄，不能下也
13.6,3,田單曰：臣以五里之城，七里之郭，破亡餘卒，破萬乘之燕，復齊墟
13.6,4,攻狄而不下，何也
13.6,5,上車弗謝而去
13.6,6,遂攻狄，三月而不克之也
13.6,7,齊嬰兒謠曰：大冠若箕，脩劍拄頤，攻狄不能，下壘枯丘
13.6,8,田單乃懼，問魯仲子曰：先生謂單不能下狄，請聞其說
13.6,9,魯仲子曰：將軍之在即墨，坐而織蕢，立則丈插，爲士卒倡曰：可往矣
13.6,10,宗廟亡矣
13.6,11,云曰尚矣
13.6,12,歸於何黨矣
13.6,13,當此之時，將軍有死之心，而士卒無生之氣，聞若言，莫不揮泣奮臂而欲戰，此所以破燕也
13.6,14,當今將軍東有夜邑之奉，西有菑上之虞，黃金橫帶，而馳乎淄澠之間，有生之樂，無死之心，所以不勝者也
13.6,15,田單曰：單有心，先生志之矣
13.6,16,明日，乃厲氣循城，立於矢石之所，乃援枹鼓之，狄人乃下
13.7,0,濮上之事，贅子死，章子走，盼子謂齊王曰：不如易餘糧於宋，宋王必說，梁氏不敢過宋伐齊
13.7,1,齊固弱，是以餘糧收宋也
13.7,2,齊國復強，雖復責之宋，可
13.7,3,不償，因以爲辭而攻之，亦可
13.8,0,齊閔王之遇殺，其子法章變姓名，爲莒太史家庸夫
13.8,1,太史敫女，奇法章之狀貌，以爲非常人，憐而常竊衣食之，與私焉
13.8,2,莒中及齊亡臣相聚，求閔王子，欲立之
13.8,3,法章乃自言於莒
13.8,4,共立法章爲襄王
13.8,5,襄王立，以太史氏女爲王后，生子建
13.8,6,太史敫曰：女無謀而嫁者，非吾種也，汙吾世矣
13.8,7,終身不覩
13.8,8,君王后賢，不以不之故，失人子之禮也
13.8,9,襄王卒，子建立爲齊王
13.8,10,君王后事秦謹，與諸侯信，以故建立四十有餘年不受兵
13.8,11,秦始皇嘗使使者遺君王后玉連環，曰：齊多知，而解此環不
13.8,12,君王后以示羣臣，羣臣不知解
13.8,13,君王后引椎椎破之，謝秦使曰：謹以解矣
13.8,14,及君王后病且卒，誡建曰：羣臣之可用者某
13.8,15,建曰：請書之
13.8,16,君王后曰：善
13.8,17,取筆牘受言
13.8,18,君王后曰：老婦已亡矣
13.8,19,君王后死，後后勝相齊，多受秦間金玉，使賓客入秦，皆爲變辭，勸王朝秦，不脩攻戰之備
13.9,0,齊王建入朝於秦，雍門司馬前曰：所爲立王者，爲社稷耶
13.9,1,爲王立王耶
13.9,2,王曰：爲社稷
13.9,3,司馬曰：爲社稷主王，王何以去社稷而入秦
13.9,4,齊王還車而反
13.9,5,即墨大夫與雍門司馬諫而聽之，則以爲可可爲謀，即入見齊王曰：齊地方數千里，帶甲數百萬
13.9,6,夫三晉大夫，皆不便秦，而在阿鄄之間者百數，王收而與之百萬之衆，使收三晉之故地，即臨晉之關可以入矣
13.9,7,鄢郢大夫，不欲爲秦，而在城南下者百數，王收而與之百萬之師，使收楚故地，即武關可以入矣
13.9,8,如此，則齊威可立，秦國可亡
13.9,9,夫舍南面之稱制，乃西面而事秦，爲大王不取也
13.9,10,齊王不聽
13.9,11,秦使陳馳誘齊王內之，約與五百里之地
13.9,12,齊王不聽即墨大夫而聽陳馳，遂入秦
13.9,13,處之共松柏之間，餓而死
13.9,14,先是齊爲之歌曰：松邪
13.9,15,柏邪
13.9,16,住建共者，客耶
13.10,0,齊以淖君之亂秦
13.10,1,其後秦欲取齊，故使蘇涓之楚，令任固之齊
13.10,2,齊明謂楚王曰：秦王欲楚，不若其欲齊之甚也
13.10,3,其使涓來，以示齊之有楚，以資固於齊
13.10,4,齊見楚，必受固
13.10,5,是王之聽涓也，適爲固驅以合齊秦也
13.10,6,齊秦合，非楚之利也
13.10,7,且夫涓來之辭，必非固之所以之齊之辭也
13.10,8,王不如令人以涓來之辭謾固於齊，齊秦必不合
13.10,9,齊秦不合，則王重矣
13.10,10,王欲收齊以攻秦，漢中可得也
13.10,11,王即欲以秦攻齊，淮泗之間亦可得也
14.1,0,齊楚構難，宋請中立
14.1,1,齊急宋，宋許之
14.1,2,子象爲楚謂宋王曰：楚以緩失宋，將法齊之急也
14.1,3,齊以急得宋，後將常急矣
14.1,4,是從齊而攻楚，未必利也
14.1,5,齊戰勝楚，勢必危宋
14.1,6,不勝，是以弱宋干強楚也
14.1,7,而令兩萬乘之國，常以急求所欲，國必危矣
14.2,0,五國約以伐齊
14.2,1,昭陽謂楚王曰：五國以破齊秦，必南圖楚
14.2,2,王曰：然則奈何
14.2,3,對曰：韓氏輔國也，好利而惡難
14.2,4,好利，可營也
14.2,5,惡難，可懼也
14.2,6,我厚賂之以利，其心必營
14.2,7,我悉兵以臨之，其心必懼我
14.2,8,彼懼吾兵而營我利，五國之事必可敗也
14.2,9,約絕之後，雖勿與地可
14.2,10,楚王曰：善
14.2,11,乃命大公事之韓，見公仲曰：夫牛闌之事，馬陵之難，親王之所見也
14.2,12,王苟無以五國用兵，請効列城五，請悉楚國之衆也，以廧於齊
14.2,13,齊之反趙魏之後，而楚果弗與地，則五國之事困也
14.3,0,荆宣王問羣臣曰：吾聞北方之畏昭奚恤也，果誠何如
14.3,1,羣臣莫對
14.3,2,江一對曰：虎求百獸而食之，得狐
14.3,3,狐曰：子無敢食我也
14.3,4,天帝使我長百獸，今子食我，是逆天帝命也
14.3,5,子以我爲不信，吾爲子先行，子隨我後，觀百獸之見我而敢不走乎
14.3,6,虎以爲然，故遂與之行
14.3,7,獸見之皆走
14.3,8,虎不知獸畏己而走也，以爲畏狐也
14.3,9,今王之地方五千里，帶甲百萬，而專屬之昭奚恤
14.3,10,故北方之畏奚恤也，其實畏王之甲兵也，猶百獸之畏虎也
14.4,0,昭奚恤與彭城君議於王前，王召江乙而問焉
14.4,1,江乙曰：二人之言皆善也，臣不敢言其後
14.4,2,此謂慮賢也
14.5,0,邯鄲之難，昭奚恤謂楚王曰：王不如無救趙，而以強魏
14.5,1,魏強，其割趙必深矣
14.5,2,趙不能聽，則必堅守，是兩弊也
14.5,3,景舍曰：不然
14.5,4,昭奚恤不知也
14.5,5,夫魏之攻趙也，恐楚之攻其後
14.5,6,今不救趙，趙有亡形，而魏無楚憂，是楚魏共趙也，害必深矣
14.5,7,何以兩弊也
14.5,8,且魏令兵以深割趙，趙見亡形，而有楚之不救己也，必與魏合而以謀楚
14.5,9,故王不如少出兵，以爲趙援
14.5,10,趙恃楚勁，必與魏戰
14.5,11,魏怒於趙之勁，而見楚救之不足畏也，必不釋趙
14.5,12,趙魏相弊，而齊秦應楚，則魏可破也
14.5,13,楚因使景舍起兵救趙
14.5,14,邯鄲拔，楚取睢濊之間
14.6,0,江尹欲惡昭奚恤於楚王，而力不能，故爲梁山陽君請封於楚
14.6,1,楚王曰：諾
14.6,2,昭奚恤曰：山陽君無功於楚國，不當封
14.6,3,江尹因得山陽君與之共惡昭奚恤
14.7,0,魏氏惡昭奚恤於楚王，楚王告昭子
14.7,1,昭子曰：臣朝夕以事聽命，而魏入吾君臣之間，臣大懼
14.7,2,臣非畏魏也
14.7,3,夫泄吾君臣之交，而天下信之，是其爲人也近苦矣
14.7,4,夫苟不難爲之外，豈忘爲之內乎
14.7,5,臣之得罪無日矣
14.7,6,王曰：寡人知之，大夫何患
14.8,0,江乙惡昭奚恤，謂楚王曰：人有以其狗爲有執而愛之
14.8,1,其狗嘗溺井
14.8,2,其鄰人見狗之溺井也，欲入言之
14.8,3,狗惡之，當門而噬之
14.8,4,鄰人憚之，遂不得入言
14.8,5,邯鄲之難，楚進兵大梁，取矣
14.8,6,昭奚恤取魏之寶器，以居魏知之，故昭奚恤常惡臣之見王
14.9,0,江乙欲惡昭奚恤於楚，謂楚王曰：下比周，則上危
14.9,1,下分爭，則上安
14.9,2,王亦知之乎
14.9,3,願王勿忘也
14.9,4,且人有好揚人之善者，於王何如
14.9,5,王曰：此君子也，近之
14.9,6,江乙曰：有人好揚人之惡者，於王何如
14.9,7,王曰：此小人也，遠之
14.9,8,江乙曰：然則且有子殺其父，臣弒其主者，而王終已不知者，何也
14.9,9,以王好聞人之美而惡聞人之惡也
14.9,10,王曰：善
14.9,11,寡人願兩聞之
14.10,0,江乙說於安陵君曰：君無咫尺之地，骨肉之親，處尊位，受厚祿，一國之衆，見君莫不斂衽而拜，撫委而服，何以也
